Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;GEOID;STATE;COUNTY;TRACT;BLOCK;
Crotona Park (Pool House);173rd Street and Fulton Avenue;Yes;Yes;Bronx;;408.406.852;-738.982.801;;0;360050165001022;408.415.104;1022;0;36;1022;2,10701E+14;BK;408.415.104;S;Block 1022;2131481;16500;-738.983.244;1;13541;0;-738.983.244;G5040;L;U;5;;0;3,6005E+14;408.415.104;1022;0;36;1022;2,10701E+14;BK;408.415.104;S;Block 1022;2131481;16500;-738.983.244;1;13541;0;-738.983.244;G5040;L;U;5;3,6005E+14;36;5;16500;1022;
Crotona Park Environmental Center;Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue;Yes;;Bronx;;408.413.665;-738.927.009;;256;360050369022003;408.416.682;2003;0;36;2003;2,10701E+14;BK;408.416.682;S;Block 2003;1867310;36902;-738.923.363;2;9755;147;-738.923.363;G5040;L;U;5;;256;3,6005E+14;408.416.682;2003;0;36;2003;2,10701E+14;BK;408.416.682;S;Block 2003;1867310;36902;-738.923.363;2;9755;147;-738.923.363;G5040;L;U;5;3,6005E+14;36;5;36902;2003;
Crowley Playground;57 Avenue & 83 Street;Yes;;Queens;;407.297.203;-7.388.007.879.999.990;;550;360810499003005;407.309.158;3005;0;36;3005;2,10701E+14;BK;407.309.158;S;Block 3005;3762154;49900;-738.809.056;3;22021;183;-738.809.056;G5040;L;U;81;;550;3,6081E+14;407.309.158;3005;0;36;3005;2,10701E+14;BK;407.309.158;S;Block 3005;3762154;49900;-738.809.056;3;22021;183;-738.809.056;G5040;L;U;81;3,6081E+14;36;81;49900;3005;
Cunningham Park;Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard;Yes;;Queens;;407.363.079;-7.377.279.759.999.990;;0;360811283001003;407.402.038;1003;0;36;1003;2,10701E+14;BK;407.402.038;S;Block 1003;3501108;128300;-737.721.213;1;291027;0;-737.721.213;G5040;L;U;81;;0;3,60811E+14;407.402.038;1003;0;36;1003;2,10701E+14;BK;407.402.038;S;Block 1003;3501108;128300;-737.721.213;1;291027;0;-737.721.213;G5040;L;U;81;3,60811E+14;36;81;128300;1003;
Cunningham Park (210th Street Playground);210 Street & 73 Avenue;Yes;;Queens;;407.391.723;-737.635.976;;1130;360811291031003;407.387.438;1003;0;36;1003;2,10701E+14;BK;407.387.438;S;Block 1003;2941684;129103;-737.612.420;1;78518;717;-737.612.420;G5040;L;U;81;;1130;3,60811E+14;407.387.438;1003;0;36;1003;2,10701E+14;BK;407.387.438;S;Block 1003;2941684;129103;-737.612.420;1;78518;717;-737.612.420;G5040;L;U;81;3,60811E+14;36;81;129103;1003;
Cunningham Park (HQ8);South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street;Yes;Yes;Queens;;407.241.362;-737.639.261;;1209;360810478011000;407.216.411;1000;0;36;1000;2,10701E+14;BK;407.216.411;S;Block 1000;3118214;47801;-737.632.663;1;127031;597;-737.632.663;G5040;L;U;81;;1209;3,6081E+14;407.216.411;1000;0;36;1000;2,10701E+14;BK;407.216.411;S;Block 1000;3118214;47801;-737.632.663;1;127031;597;-737.632.663;G5040;L;U;81;3,6081E+14;36;81;47801;1000;
Cypress Hills Park;Blake & Euclid avenues;Yes;;Brooklyn;;40.676.033;-738.720.666;;77;360471196002001;406.761.040;2001;0;36;2001;2,10701E+14;BK;406.761.040;S;Block 2001;8102350;119600;-738.716.114;2;11360;19;-738.716.114;G5040;L;U;47;;77;3,60471E+14;406.761.040;2001;0;36;2001;2,10701E+14;BK;406.761.040;S;Block 2001;8102350;119600;-738.716.114;2;11360;19;-738.716.114;G5040;L;U;47;3,60471E+14;36;47;119600;2001;
Daniel M. O'Connell Playground;113 Avenue & 196 Street;Yes;;Queens;;40.700.413;-737.588.353;;0;360810522001008;406.998.700;1008;0;36;1008;2,10701E+14;BK;406.998.700;S;Block 1008;1844706;52200;-737.581.005;1;12530;0;-737.581.005;G5040;L;U;81;;0;3,60811E+14;406.998.700;1008;0;36;1008;2,10701E+14;BK;406.998.700;S;Block 1008;1844706;52200;-737.581.005;1;12530;0;-737.581.005;G5040;L;U;81;3,60811E+14;36;81;52200;1008;
De Witt Clinton Park;West 52 to West 54 streets, 11 to 12 avenues;Yes;Yes;Manhattan;;407.607.432;-740.020.717;;0;360610117003002;407.610.793;3002;0;36;3002;2,10701E+14;BK;407.610.793;S;Block 3002;3354385;11700;-740.019.543;3;1702;0;-740.019.543;G5040;L;U;61;;0;3,6061E+14;407.610.793;3002;0;36;3002;2,10701E+14;BK;407.610.793;S;Block 3002;3354385;11700;-740.019.543;3;1702;0;-740.019.543;G5040;L;U;61;3,6061E+14;36;61;11700;3002;
Dematti Playground;Tompkins Avenue, Chestnut Avenue;Yes;;Staten Island;;40.615.587;-740.735.771;;140;360850008001005;406.164.177;1005;0;36;1005;2,10701E+14;BK;406.164.177;S;Block 1005;4828791;800;-740.721.481;1;25044;53;-740.721.481;G5040;L;U;85;;140;3,6085E+14;406.164.177;1005;0;36;1005;2,10701E+14;BK;406.164.177;S;Block 1005;4828791;800;-740.721.481;1;25044;53;-740.721.481;G5040;L;U;85;3,6085E+14;36;85;800;1005;
Detective Keith L. Williams Park;106 Avenue, 173 Street, Liberty Avenue, 172 Street;Yes;;Queens;;40.704.192;-7.378.598.219.999.990;;30;360810444003016;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016;
Devoe Park;West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place;Yes;;Bronx;;408.637.387;-739.056.412;;1863;360050263003000;408.643.908;3000;0;36;3000;2,10701E+14;BK;408.643.908;S;Block 3000;1341546;26300;-739.052.788;3;31371;613;-739.052.788;G5040;L;U;5;;1863;3,6005E+14;408.643.908;3000;0;36;3000;2,10701E+14;BK;408.643.908;S;Block 3000;1341546;26300;-739.052.788;3;31371;613;-739.052.788;G5040;L;U;5;3,6005E+14;36;5;26300;3000;
Digilio Playground;McDonald Avenue & Avenue F;Yes;;Brooklyn;;406.331.689;-739.776.328;;405;360470478003005;406.342.957;3005;0;36;3005;2,10701E+14;BK;406.342.957;S;Block 3005;5845995;47800;-739.783.596;3;24748;106;-739.783.596;G5040;L;U;47;;405;3,6047E+14;406.342.957;3005;0;36;3005;2,10701E+14;BK;406.342.957;S;Block 3005;5845995;47800;-739.783.596;3;24748;106;-739.783.596;G5040;L;U;47;3,6047E+14;36;47;47800;3005;
Dimattina Playground;Hicks & Rapelye streets;Yes;;Brooklyn;;406.805.621;-740.029.059;;0;360470063002004;406.798.988;2004;0;36;2004;2,10701E+14;BK;406.798.988;S;Block 2004;6659890;6300;-740.027.830;2;10223;0;-740.027.830;G5040;L;U;47;;0;3,6047E+14;406.798.988;2004;0;36;2004;2,10701E+14;BK;406.798.988;S;Block 2004;6659890;6300;-740.027.830;2;10223;0;-740.027.830;G5040;L;U;47;3,6047E+14;36;47;6300;2004;
Ditmars Park Playground;23 Avenue to Ditmars Boulevard;Yes;;Queens;;407.689.979;-738.893.335;;235;360810317003000;407.699.006;3000;0;36;3000;2,10701E+14;BK;407.699.006;S;Block 3000;805270;31700;-738.893.705;3;18011;87;-738.893.705;G5040;L;U;81;;235;3,6081E+14;407.699.006;3000;0;36;3000;2,10701E+14;BK;407.699.006;S;Block 3000;805270;31700;-738.893.705;3;18011;87;-738.893.705;G5040;L;U;81;3,6081E+14;36;81;31700;3000;
Double Nickel Playground;Osborne Street and Preston Avenue;Yes;Yes;Staten Island;;405.369.547;-741.617.987;;74;360850156021012;405.380.242;1012;0;36;1012;2,10701E+14;BK;405.380.242;S;Block 1012;7574255;15602;-741.621.897;1;18787;33;-741.621.897;G5040;L;U;85;;74;3,6085E+14;405.380.242;1012;0;36;1012;2,10701E+14;BK;405.380.242;S;Block 1012;7574255;15602;-741.621.897;1;18787;33;-741.621.897;G5040;L;U;85;3,6085E+14;36;85;15602;1012;
Downing Street Playground;Downing to Carmine streets, Avenue of the Americas;Yes;;Manhattan;;407.305.359;-7.400.172.789.999.990;;0;360610067002000;407.302.337;2000;0;36;2000;2,10701E+14;BK;407.302.337;S;Block 2000;2853377;6700;-740.020.971;2;2344;0;-740.020.971;G5040;L;U;61;;0;3,6061E+14;407.302.337;2000;0;36;2000;2,10701E+14;BK;407.302.337;S;Block 2000;2853377;6700;-740.020.971;2;2344;0;-740.020.971;G5040;L;U;61;3,6061E+14;36;61;6700;2000;
Dr. Charles R. Drew Memorial Park;Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue;Yes;;Queens;;406.801.011;-738.017.272;;167;360810188001007;406.810.914;1007;0;36;1007;2,10701E+14;BK;406.810.914;S;Block 1007;1022718;18800;-738.017.409;1;16389;50;-738.017.409;G5040;L;U;81;;167;3,6081E+14;406.810.914;1007;0;36;1007;2,10701E+14;BK;406.810.914;S;Block 1007;1022718;18800;-738.017.409;1;16389;50;-738.017.409;G5040;L;U;81;3,6081E+14;36;81;18800;1007;
Dr. Martin Luther King Jr. Park;Dumont, Blake, Miller avenues;Yes;;Brooklyn;;406.707.374;-738.907.346;;308;360471158001000;406.706.209;1000;0;36;1000;2,10701E+14;BK;406.706.209;S;Block 1000;5614515;115800;-738.911.787;1;11281;107;-738.911.787;G5040;L;U;47;;308;3,60471E+14;406.706.209;1000;0;36;1000;2,10701E+14;BK;406.706.209;S;Block 1000;5614515;115800;-738.911.787;1;11281;107;-738.911.787;G5040;L;U;47;3,60471E+14;36;47;115800;1000;
Dr. Richard Greene Playground;Mother Gaston Boulevard (Stone Avenue) & Sutter avenues;Yes;;Brooklyn;;406.693.045;-739.019.022;;0;360470908002000;406.696.078;2000;0;36;2000;2,10701E+14;BK;406.696.078;S;Block 2000;5608473;90800;-739.024.650;2;23708;0;-739.024.650;G5040;L;U;47;;0;3,60471E+14;406.696.078;2000;0;36;2000;2,10701E+14;BK;406.696.078;S;Block 2000;5608473;90800;-739.024.650;2;23708;0;-739.024.650;G5040;L;U;47;3,60471E+14;36;47;90800;2000;
Drew Playground;Fulton Avenue, East 169 Street;Yes;;Bronx;;408.322.219;-739.034.334;;762;360050147012000;408.336.430;2000;0;36;2000;2,10701E+14;BK;408.336.430;S;Block 2000;2140202;14701;-739.034.539;2;42278;213;-739.034.539;G5040;L;U;5;;762;3,6005E+14;408.336.430;2000;0;36;2000;2,10701E+14;BK;408.336.430;S;Block 2000;2140202;14701;-739.034.539;2;42278;213;-739.034.539;G5040;L;U;5;3,6005E+14;36;5;14701;2000;
Dry Dock Playground;East 10 Street & Szold Place, Avenue D;No;;Manhattan;;407.253.338;-739.762.191;;585;360610028004003;407.258.965;4003;0;36;4003;2,10701E+14;BK;407.258.965;S;Block 4003;3356153;2800;-739.766.564;4;9527;357;-739.766.564;G5040;L;U;61;;585;3,6061E+14;407.258.965;4003;0;36;4003;2,10701E+14;BK;407.258.965;S;Block 4003;3356153;2800;-739.766.564;4;9527;357;-739.766.564;G5040;L;U;61;3,6061E+14;36;61;2800;4003;
Dugan Playground;Mill Road & Tysens Lane;Yes;;Staten Island;;405.614.573;-7.411.225.089.999.990;;154;360850128065014;405.614.353;5014;0;36;5014;2,10701E+14;BK;405.614.353;S;Block 5014;8080972;12806;-741.108.386;5;29748;47;-741.108.386;G5040;L;U;85;;154;3,6085E+14;405.614.353;5014;0;36;5014;2,10701E+14;BK;405.614.353;S;Block 5014;8080972;12806;-741.108.386;5;29748;47;-741.108.386;G5040;L;U;85;3,6085E+14;36;85;12806;5014;
Dutch Kills Playground (PS 112);Crescent-28 streets, 36 Avenue, 37 Avenue;Yes;;Queens;;407.566.048;-7.392.966.849.999.990;;294;360810053004003;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;3,6081E+14;36;81;5300;4003;
Dyckman House Museum;Broadway & West 204 Street;Yes;;Manhattan;;4.086.702.289.999.990;-739.231.162;;905;360610295003001;408.670.761;3001;0;36;3001;2,10701E+14;BK;408.670.761;S;Block 3001;4641844;29500;-739.243.120;3;17434;439;-739.243.120;G5040;L;U;61;;905;3,6061E+14;408.670.761;3001;0;36;3001;2,10701E+14;BK;408.670.761;S;Block 3001;4641844;29500;-739.243.120;3;17434;439;-739.243.120;G5040;L;U;61;3,6061E+14;36;61;29500;3001;
Dyker Beach Park;Shore Parkway, 86 Street, 7 to 14 avenues;Yes;;Brooklyn;;406.249.322;-739.990.462;;635;360470194001001;406.256.201;1001;0;36;1001;2,10701E+14;BK;406.256.201;S;Block 1001;6662131;19400;-740.001.087;1;20210;206;-740.001.087;G5040;L;U;47;;635;3,6047E+14;406.256.201;1001;0;36;1001;2,10701E+14;BK;406.256.201;S;Block 1001;6662131;19400;-740.001.087;1;20210;206;-740.001.087;G5040;L;U;47;3,6047E+14;36;47;19400;1001;
East Elmhurst Playground (PS 127);25 Avenue & 98 Street;Yes;Yes;Queens;;40.764.625;-7.387.177.299.999.990;;90;360810357002007;407.656.362;2007;0;36;2007;2,10701E+14;BK;407.656.362;S;Block 2007;3501139;35700;-738.709.770;2;33438;24;-738.709.770;G5040;L;U;81;;90;3,6081E+14;407.656.362;2007;0;36;2007;2,10701E+14;BK;407.656.362;S;Block 2007;3501139;35700;-738.709.770;2;33438;24;-738.709.770;G5040;L;U;81;3,6081E+14;36;81;35700;2007;
East River Park (10th Street);Northern extreme of park;Yes;;Manhattan;;407.830.603;-739.712.488;;1398;360610169006000;407.836.216;6000;0;36;6000;2,10701E+14;BK;407.836.216;S;Block 6000;2183960;16900;-739.724.099;6;22078;845;-739.724.099;G5040;L;U;61;;1398;3,6061E+14;407.836.216;6000;0;36;6000;2,10701E+14;BK;407.836.216;S;Block 6000;2183960;16900;-739.724.099;6;22078;845;-739.724.099;G5040;L;U;61;3,6061E+14;36;61;16900;6000;
East River Park (Tennis Courts);East River Park at Broome Street;Yes;;Manhattan;;407.216.103;-739.994.554;;105;360610045001003;407.211.202;1003;0;36;1003;2,10701E+14;BK;407.211.202;S;Block 1003;3706089;4500;-739.998.509;1;10351;62;-739.998.509;G5040;L;U;61;;105;3,6061E+14;407.211.202;1003;0;36;1003;2,10701E+14;BK;407.211.202;S;Block 1003;3706089;4500;-739.998.509;1;10351;62;-739.998.509;G5040;L;U;61;3,6061E+14;36;61;4500;1003;
East River Park (Track Building);East 6 Street & FDR Drive;Yes;;Manhattan;;407.216.141;-739.747.562;;0;360610024002002;407.229.052;2002;0;36;2002;2,10701E+14;BK;407.216.920;S;Block 2002;3663352;2400;-739.741.569;2;2873;0;-739.746.708;G5040;L;U;61;;0;3,6061E+14;407.229.052;2002;0;36;2002;2,10701E+14;BK;407.216.920;S;Block 2002;3663352;2400;-739.741.569;2;2873;0;-739.746.708;G5040;L;U;61;3,6061E+14;36;61;2400;2002;
East River Playground;FDR Drive, East 106 to East 107 streets;Yes;;Manhattan;;407.887.513;-7.393.784.509.999.990;;41;360610162003000;407.894.525;3000;0;36;3000;2,10701E+14;BK;407.894.525;S;Block 3000;2687539;16200;-739.386.507;3;20413;1;-739.386.507;G5040;L;U;61;;41;3,6061E+14;407.894.525;3000;0;36;3000;2,10701E+14;BK;407.894.525;S;Block 3000;2687539;16200;-739.386.507;3;20413;1;-739.386.507;G5040;L;U;61;3,6061E+14;36;61;16200;3000;
East Springfield Playground;115 Road between 218 & 219 streets;Yes;;Queens;;407.285.784;-737.448.869;;73;360810552002002;407.287.081;2002;0;36;2002;2,10701E+14;BK;407.287.081;S;Block 2002;1023346;55200;-737.453.115;2;7816;25;-737.453.115;G5040;L;U;81;;73;3,60811E+14;407.287.081;2002;0;36;2002;2,10701E+14;BK;407.287.081;S;Block 2002;1023346;55200;-737.453.115;2;7816;25;-737.453.115;G5040;L;U;81;3,60811E+14;36;81;55200;2002;
Eastchester Playground;Adee Avenue, Tenbroeck Avenue;Yes;;Bronx;;4.086.940.389.999.990;-738.527.582;;230;360050348003002;408.685.243;3002;0;36;3002;2,10701E+14;BK;408.685.243;S;Block 3002;2138588;34800;-738.523.206;3;15915;74;-738.523.206;G5040;L;U;5;;230;3,6005E+14;408.685.243;3002;0;36;3002;2,10701E+14;BK;408.685.243;S;Block 3002;2138588;34800;-738.523.206;3;15915;74;-738.523.206;G5040;L;U;5;3,6005E+14;36;5;34800;3002;
Edenwald Playground;East 226 Drive, Schieffelin Avenue;Yes;;Bronx;;408.834.859;-738.453.026;;860;360050460001001;408.835.753;1001;0;36;1001;2,10701E+14;BK;408.835.753;S;Block 1001;1612522;46000;-738.440.095;1;43105;407;-738.440.095;G5040;L;U;5;;860;3,6005E+14;408.835.753;1001;0;36;1001;2,10701E+14;BK;408.835.753;S;Block 1001;1612522;46000;-738.440.095;1;43105;407;-738.440.095;G5040;L;U;5;3,6005E+14;36;5;46000;1001;
Ederle Comfort Station;Flushing Meadows Corona Park;;Yes;Queens;;407.400.275;-738.406.953;;0;360810383021055;407.352.105;1055;0;36;1055;2,10701E+14;BK;407.327.349;S;Block 1055;851582;38302;-738.393.373;1;648100;0;-738.376.070;G5040;L;U;81;;0;3,6081E+14;407.352.105;1055;0;36;1055;2,10701E+14;BK;407.327.349;S;Block 1055;851582;38302;-738.393.373;1;648100;0;-738.376.070;G5040;L;U;81;3,6081E+14;36;81;38302;1055;
Edmonds Playground;DeKalb Avenue, Adelphi Street;Yes;;Brooklyn;;406.895.466;-739.711.441;;432;360470183002000;406.906.113;2000;0;36;2000;2,10701E+14;BK;406.906.113;S;Block 2000;6083416;18300;-739.718.478;2;19403;185;-739.718.478;G5040;L;U;47;;432;3,6047E+14;406.906.113;2000;0;36;2000;2,10701E+14;BK;406.906.113;S;Block 2000;6083416;18300;-739.718.478;2;19403;185;-739.718.478;G5040;L;U;47;3,6047E+14;36;47;18300;2000;
Electric Playground;164 Street, south of 65 Avenue;Yes;;Queens;;407.343.623;-738.048.112;;108;360811227035004;407.339.991;5004;0;36;5004;2,10701E+14;BK;407.339.991;S;Block 5004;1230981;122703;-738.044.146;5;17570;33;-738.044.146;G5040;L;U;81;;108;3,60811E+14;407.339.991;5004;0;36;5004;2,10701E+14;BK;407.339.991;S;Block 5004;1230981;122703;-738.044.146;5;17570;33;-738.044.146;G5040;L;U;81;3,60811E+14;36;81;122703;5004;
Emerald Playground (PS 200);164 Street between Jewel & 71 avenues;Yes;;Queens;;407.343.623;-738.048.112;;108;360811227035004;407.339.991;5004;0;36;5004;2,10701E+14;BK;407.339.991;S;Block 5004;1230981;122703;-738.044.146;5;17570;33;-738.044.146;G5040;L;U;81;;108;3,60811E+14;407.339.991;5004;0;36;5004;2,10701E+14;BK;407.339.991;S;Block 5004;1230981;122703;-738.044.146;5;17570;33;-738.044.146;G5040;L;U;81;3,60811E+14;36;81;122703;5004;
Equity Park;90 Street, 88 & 89 avenues;Yes;;Queens;;406.900.212;-738.553.487;;187;360810016001004;406.906.927;1004;0;36;1004;2,10701E+14;BK;406.906.927;S;Block 1004;3126354;1600;-738.552.034;1;8575;51;-738.552.034;G5040;L;U;81;;187;3,6081E+14;406.906.927;1004;0;36;1004;2,10701E+14;BK;406.906.927;S;Block 1004;3126354;1600;-738.552.034;1;8575;51;-738.552.034;G5040;L;U;81;3,6081E+14;36;81;1600;1004;
Ethan Allen Playground;New Jersey Avenue & Vermont Street/Worthman;Yes;;Brooklyn;;406.561.936;-738.866.958;;16;360471104001019;406.553.426;1019;0;36;1019;2,10701E+14;BK;406.553.426;S;Block 1019;4136678;110400;-738.866.089;1;14268;1;-738.866.089;G5040;L;U;47;;16;3,60471E+14;406.553.426;1019;0;36;1019;2,10701E+14;BK;406.553.426;S;Block 1019;4136678;110400;-738.866.089;1;14268;1;-738.866.089;G5040;L;U;47;3,60471E+14;36;47;110400;1019;
Farm Playground;73 Avenue, 195 Street & 196 Place;Yes;;Queens;;407.348.088;-737.777.589;;108;360811333001006;407.336.429;1006;0;36;1006;2,10701E+14;BK;407.336.429;S;Block 1006;2011411;133300;-737.777.019;1;19543;36;-737.777.019;G5040;L;U;81;;108;3,60811E+14;407.336.429;1006;0;36;1006;2,10701E+14;BK;407.336.429;S;Block 1006;2011411;133300;-737.777.019;1;19543;36;-737.777.019;G5040;L;U;81;3,60811E+14;36;81;133300;1006;
Fermi Playground;Troutman Street & Central Avenue;Yes;;Brooklyn;;4.070.029;-73.929.035;;665;360470425001002;407.012.403;1002;0;36;1002;2,10701E+14;BK;407.012.403;S;Block 1002;8100989;42500;-739.286.869;1;16199;245;-739.286.869;G5040;L;U;47;;665;3,6047E+14;407.012.403;1002;0;36;1002;2,10701E+14;BK;407.012.403;S;Block 1002;8100989;42500;-739.286.869;1;16199;245;-739.286.869;G5040;L;U;47;3,6047E+14;36;47;42500;1002;
Fisher Pool;32 Avenue, 99 Street;No;;Queens;;407.590.771;-738.698.387;;375;360810363001004;407.600.421;1004;0;36;1004;2,10701E+14;BK;407.600.421;S;Block 1004;3501759;36300;-738.694.937;1;17769;119;-738.694.937;G5040;L;U;81;;375;3,6081E+14;407.600.421;1004;0;36;1004;2,10701E+14;BK;407.600.421;S;Block 1004;3501759;36300;-738.694.937;1;17769;119;-738.694.937;G5040;L;U;81;3,6081E+14;36;81;36300;1004;
Flushing Fields (Leonardo Ingravallo Playground);Bayside Avenue, 25 Avenue, 149 to 150 streets;Yes;;Queens;;407.190.036;-738.121.073;;269;360810779051002;407.178.534;1002;0;36;1002;2,10701E+14;BK;407.178.534;S;Block 1002;2941081;77905;-738.143.623;1;30318;142;-738.143.623;G5040;L;U;81;;269;3,60811E+14;407.178.534;1002;0;36;1002;2,10701E+14;BK;407.178.534;S;Block 1002;2941081;77905;-738.143.623;1;30318;142;-738.143.623;G5040;L;U;81;3,60811E+14;36;81;77905;1002;
Flushing Meadows Corona Park (Albert H. Mauro Playground);Park Drive East & 73 Terrace;Yes;;Queens;;407.230.812;-738.267.229;;209;360810779023005;407.216.976;3005;0;36;3005;2,10701E+14;BK;407.216.976;S;Block 3005;3057729;77902;-738.255.107;3;33484;55;-738.255.107;G5040;L;U;81;;209;3,60811E+14;407.216.976;3005;0;36;3005;2,10701E+14;BK;407.216.976;S;Block 3005;3057729;77902;-738.255.107;3;33484;55;-738.255.107;G5040;L;U;81;3,60811E+14;36;81;77902;3005;
Flushing Meadows Corona Park (Lawrence Playground);College Point Boulevard and Lawrence Street;Yes;;Queens;;407.453.354;-738.334.255;;334;360810803011006;407.457.588;1006;0;36;1006;2,10701E+14;BK;407.457.588;S;Block 1006;3057133;80301;-738.342.879;1;12277;87;-738.342.879;G5040;L;U;81;;334;3,60811E+14;407.457.588;1006;0;36;1006;2,10701E+14;BK;407.457.588;S;Block 1006;3057133;80301;-738.342.879;1;12277;87;-738.342.879;G5040;L;U;81;3,60811E+14;36;81;80301;1006;
Flushing Meadows Corona Park (Meadow Lake North);Long Island Expressway to Meadow Lake to Van Wyck Expressway Extension to Grand Central Parkway;Yes;;Queens;;407.290.013;-73.839.635;;0;360810383021055;407.352.105;1055;0;36;1055;2,10701E+14;BK;407.327.349;S;Block 1055;851582;38302;-738.393.373;1;648100;0;-738.376.070;G5040;L;U;81;;0;3,6081E+14;407.352.105;1055;0;36;1055;2,10701E+14;BK;407.327.349;S;Block 1055;851582;38302;-738.393.373;1;648100;0;-738.376.070;G5040;L;U;81;3,6081E+14;36;81;38302;1055;
Flushing Meadows Corona Park (Passerelle);Unisphere Fountain to pool, at Meridian Road;Yes;Yes;Queens;;407.463.889;-738.450.676;;4;360810383021024;407.472.572;1024;4497;36;1024;2,10701E+14;BK;407.461.649;S;Block 1024;3060123;38302;-738.411.807;1;809788;0;-738.413.820;G5040;B;U;81;;4;3,6081E+14;407.472.572;1024;4497;36;1024;2,10701E+14;BK;407.461.649;S;Block 1024;3060123;38302;-738.411.807;1;809788;0;-738.413.820;G5040;B;U;81;3,6081E+14;36;81;38302;1024;
Flushing Meadows Corona Park (Playground for All Children);111 Street and Corona Avenue;Yes;Yes;Queens;;407.407.916;-7.385.005.319.999.990;;6;360810383021027;407.446.922;1027;0;36;1027;2,10701E+14;BK;407.446.922;S;Block 1027;1737967;38302;-738.498.219;1;406304;1;-738.498.219;G5040;L;U;81;;6;3,6081E+14;407.446.922;1027;0;36;1027;2,10701E+14;BK;407.446.922;S;Block 1027;1737967;38302;-738.498.219;1;406304;1;-738.498.219;G5040;L;U;81;3,6081E+14;36;81;38302;1027;
Hansborough Recreation Center;35 West 134 Street;Yes;;Manhattan;;408.128.918;-739.394.264;;1604;360610212004000;408.127.737;4000;0;36;4000;2,10701E+14;BK;408.127.737;S;Block 4000;4643590;21200;-739.397.183;4;51408;1148;-739.397.183;G5040;L;U;61;;1604;3,6061E+14;408.127.737;4000;0;36;4000;2,10701E+14;BK;408.127.737;S;Block 4000;4643590;21200;-739.397.183;4;51408;1148;-739.397.183;G5040;L;U;61;3,6061E+14;36;61;21200;4000;
Flushing Meadows Corona Park (Worlds Fair Playground);Grand Central Parkway, Van Wyck Expressway;Yes;;Queens;;407.007.133;-738.151.411;;25;360810212002004;407.006.091;2004;0;36;2004;2,10701E+14;BK;407.006.091;S;Block 2004;1396554;21200;-738.152.511;2;11586;1;-738.152.511;G5040;L;U;81;;25;3,6081E+14;407.006.091;2004;0;36;2004;2,10701E+14;BK;407.006.091;S;Block 2004;1396554;21200;-738.152.511;2;11586;1;-738.152.511;G5040;L;U;81;3,6081E+14;36;81;21200;2004;
Flushing Meadows Corona Park (Zoo; Ballfields);Grand Central Parkway to 111th Street to Heckscher Children Farm to Playground for All Children;Yes;Yes;Queens;;407.413.416;-738.489.647;;6;3,6081E+14;407.446.922;1027;0;36;1027;2,10701E+14;BK;407.446.922;S;Block 1027;1737967;38302;-738.498.219;1;406304;1;-738.498.219;G5040;L;U;81;;6;3,6081E+14;407.446.922;1027;0;36;1027;2,10701E+14;BK;407.446.922;S;Block 1027;1737967;38302;-738.498.219;1;406304;1;-738.498.219;G5040;L;U;81;3,6081E+14;36;81;38302;1027
Flynn Playground;3 Avenue, East 158 Street, Brook Avenue, East 157 Street;Yes;;Bronx;;408.202.734;-739.118.877;;96;360050071002002;408.202.668;2002;0;36;2002;2,10701E+14;BK;408.202.668;S;Block 2002;2133891;7100;-739.121.420;2;3975;32;-739.121.420;G5040;L;U;5;;96;3,6005E+14;408.202.668;2002;0;36;2002;2,10701E+14;BK;408.202.668;S;Block 2002;2133891;7100;-739.121.420;2;3975;32;-739.121.420;G5040;L;U;5;3,6005E+14;36;5;7100;2002;
